0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1;numberOfRessources;numberOfWorkloadClasses;varianceInflationFactor;utilizationArtihmeticMean;
NA;3.713595;3.70638699;3.70638699;3.70638699;3.70638699;3.70638699;3.70638699;3.70638699;3.70638699;3.70638699;1;3;1.72368774;74.67600893;
NA;3.71654991;3.61906221;3.55794154;3.5398891;3.52600259;3.52600259;3.52600259;3.52600259;3.52600259;3.52600259;1;3;1.31410439;74.06834795;
NA;0.256386;0.25208699;0.25008826;0.25008826;0.25008826;0.25008826;0.25008826;0.25008826;0.25008826;0.25008826;1;3;1.37590692;74.58217797;
NA;0.45791855;0.45992644;0.45992644;0.45992644;0.45992644;0.45992644;0.45992644;0.45992644;0.45992644;0.45992644;1;3;1.34739656;75.61140395;
NA;0.39938818;0.41475376;0.42886807;0.43806146;0.44721664;0.44941582;0.44941582;0.44941582;0.44941582;0.44941582;1;3;1.31099999;75.14922881;
NA;0.31795709;0.29747952;0.27875717;0.27875717;0.27875717;0.27875717;0.27875717;0.27875717;0.27875717;0.27875717;1;3;2.0927783;74.65971667;
NA;1.48764506;1.35270398;1.25344874;1.18654283;1.11980729;1.06943691;1.0577893;1.0577893;1.0577893;1.0577893;1;3;1.53334045;73.1400848;
NA;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;0.43641725;1;3;1.46421704;76.21117816;
NA;0.30560808;0.29283018;0.29283018;0.29283018;0.29283018;0.29283018;0.29283018;0.29283018;0.29283018;0.29283018;1;2;1.3676085;73.93030328;
NA;2.68833389;2.53130998;2.39075827;2.25528715;2.0982706;2.02714078;1.98754937;1.98754937;1.98754937;1.98754937;1;3;1.30405896;75.20450862;
NA;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;0.20916907;1;3;1.59193012;74.43391525;
NA;0.14875709;0.14810014;0.14810014;0.14810014;0.14810014;0.14810014;0.14810014;0.14810014;0.14810014;0.14810014;1;3;1.45200621;75.5722459;
NA;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;0.34360395;1;3;1.06520176;74.98589837;
NA;2.75446687;2.64282284;2.54383954;2.45230679;2.36139964;2.28058487;2.22016135;2.17820627;2.13636124;2.1345604;1;3;1.45965823;74.40765805;
NA;0.26811841;0.25304593;0.23938994;0.23062001;0.22792964;0.22708311;0.22708311;0.22708311;0.22708311;0.22708311;1;3;1.2785001;74.44778161;
NA;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;0.43417849;1;3;1.54184792;76.44316279;
NA;2.6562298;2.52614314;2.3990886;2.29061502;2.22635747;2.20342003;2.19734372;2.19734372;2.19734372;2.19734372;1;3;1.29624381;74.91682749;
NA;2.72245553;2.67914305;2.66246177;2.66246177;2.66246177;2.66246177;2.66246177;2.66246177;2.66246177;2.66246177;1;3;1.31231583;74.44475;
